StrokeNumber;X;Y
1;266.00;132.67
1;265.33;132.67
1;265.33;135.33
1;265.33;139.33
1;265.33;144.67
1;265.33;151.33
1;268.00;164.00
1;272.67;179.33
1;277.33;192.00
1;279.33;204.00
1;282.67;216.00
1;282.67;229.33
1;284.00;242.67
1;284.00;254.67
1;284.00;262.67
1;284.00;270.67
1;284.00;274.67
1;284.00;276.00
1;284.00;278.00
1;284.00;278.67
